ACC,CUSTOMER,SPEND,MARGIN
Car001,Carly Rae Jepsen,176626.00,41
Ant002,Antimatter,149476.00,36
Psy003,Psycroptic,122801.00,42
Evo004,Evoken,731737.00,40
In 005,In The Woods...,350807.00,38
Sig006,Sigh,70497.00,45
Arc007,Architects,309341.00,38
Ope008,Opera IX,198381.00,35
Ein009,Einherjer,631023.00,41
Art0010,Artillery,141196.00,44
Sui0011,Suidakra,33947.00,39
Dea0012,Death,276721.00,43
Meg0013,Megadeth,475888.00,44
Met0014,Metallica,424661.00,33
Jud0015,Judas Priest,273094.00,36
Ope0016,Opeth,703231.00,36
Iro0017,Iron Maiden,203435.00,36
Bla0018,Black Sabbath,628348.00,35
Iro0019,Iron Maiden,626231.00,34
Dea0020,Death,222707.00,42
Amo0021,Amorphis,87445.00,36
Jud0022,Judas Priest,161076.00,44
Riv0023,Riverside,636073.00,46
Ant0024,Antimatter,766878.00,37
Shy0025,Shylmagoghnar,84108.00,36
Nig0026,Night Verses,351393.00,34
The0027,The Ocean,448157.00,33
Riv0028,Rivers Of Nihil,593368.00,42
Slu0029,Slugdge,768290.00,37
Nec0030,Necrophobic,134502.00,34
Gho0031,Ghost,492222.00,36
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
